# Galaxy: UGC02885
# Columns: R (kpc) | v_obs (km/s) | err_v (km/s) | v_gas (km/s) | v_disk (km/s) | v_bul (km/s)
3.34  210.0  12.0   15.4  192.4  142.1
6.68  260.0  10.0   28.2  248.6  134.8
10.02 280.0   9.0   38.6  268.1  118.2
13.36 288.0   8.0   46.8  268.4  101.5
16.70 292.0   8.0   53.1  258.9   87.2
20.04 294.0   8.0   57.8  244.5   75.4
23.38 295.0   8.0   61.0  228.2   65.8
26.72 296.0   8.0   63.0  211.5   57.8
30.06 297.0   8.0   64.0  195.4   51.2
33.40 298.0   8.0   64.1  180.2   45.6
36.74 298.0   8.0   63.5  166.1   40.9
40.08 298.0   9.0   62.3  153.2   36.9
43.42 298.0   9.0   60.6  141.3   33.4
46.76 298.0   9.0   58.5  130.5   30.4
50.10 298.0  10.0   56.1  120.6   27.8
53.44 297.0  10.0   53.4  111.7   25.5
56.78 296.0  11.0   50.5  103.5   23.5
60.12 295.0  11.0   47.5   96.1   21.7
63.46 294.0  12.0   44.4   89.4   20.1
